 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status,Gender,Age
2, Graduate, No,9600000,29900000,12,778, Approved,Male,33
0, Not Graduate, Yes,4100000,12200000,8,417, Rejected,Male,21
3, Graduate, No,9100000,29700000,20,506, Rejected,Female,25
3, Graduate, No,8200000,30700000,8,467, Rejected,Female,65
5, Not Graduate, Yes,9800000,24200000,20,382, Rejected,Male,57
0, Graduate, Yes,4800000,13500000,10,319, Rejected,Male,73
5, Graduate, No,8700000,33000000,4,678, Approved,Female,59
2, Graduate, Yes,5700000,15000000,20,382, Rejected,Female,20
0, Graduate, Yes,800000,2200000,20,782, Approved,Male,50
5, Not Graduate, No,1100000,4300000,10,388, Rejected,Male,30
4, Graduate, Yes,2900000,11200000,2,547, Approved,Male,53
2, Not Graduate, Yes,6700000,22700000,18,538, Rejected,Male,80
3, Not Graduate, Yes,5000000,11600000,16,311, Rejected,Male,49
2, Graduate, Yes,9100000,31500000,14,679, Approved,Male,56
1, Not Graduate, No,1900000,7400000,6,469, Rejected,Female,22
5, Not Graduate, No,4700000,10700000,10,794, Approved,Male,62
2, Graduate, Yes,500000,1600000,4,663, Approved,Male,35
4, Not Graduate, Yes,2900000,9400000,14,780, Approved,Male,30
2, Graduate, No,2700000,10300000,10,736, Approved,Female,35
5, Graduate, No,6300000,14600000,12,652, Approved,Male,44
2, Graduate, No,5000000,19400000,12,315, Rejected,Female,25
4, Graduate, No,5800000,14000000,16,530, Rejected,Female,69
4, Graduate, Yes,6500000,25700000,18,311, Rejected,Male,22
0, Not Graduate, Yes,500000,1400000,2,551, Approved,Male,60
0, Not Graduate, No,4900000,9800000,16,324, Rejected,Female,31
5, Not Graduate, No,3100000,9500000,20,514, Rejected,Female,27
4, Graduate, No,8200000,28100000,12,696, Approved,Female,23
4, Not Graduate, Yes,2400000,5600000,4,662, Approved,Male,25
5, Not Graduate, Yes,7000000,24000000,6,336, Rejected,Male,27
3, Not Graduate, Yes,9000000,31500000,10,850, Approved,Male,27
